Set,ATname,com_name,com_names,protein_sequence,gene_family,gene_fam_size,expression_level,GO_functions
1,AT2G03450,atpap9,"atpap9,pap9",,,,,
2,AT1G48620,hon5,hon5,,,,,
3,AT1G13020,eif4b2,eif4b2,,,,,
5,AT3G03860,aprl5,"aprl5,ataprl5",,,,,
7,AT4G35470,pirl4,pirl4,,,,,
8,AT1G33260,AT1G33260,at1g33260,,,,,
11,AT2G21380,AT2G21380,at2g21380,,,,,
12,AT5G16480,atpfa-dsp5,"atpfa-dsp5,pfa-dsp5",,,,,
14,AT4G28320,atman5,"atman5,man5",,,,,
15,AT3G14310,atpme3,"atpme3,ozs2,pme3",,,,,
18,AT3G61600,atpob1,"atpob1,lrb2,pob1",,,,,
20,AT3G14960,AT3G14960,at3g14960,,,,,
25,AT3G56170,can,"can,can1",,,,,
33,AT1G18150,atmpk8,"atmpk8,mpk8",,,,,
34,AT1G07560,AT1G07560,at1g07560,,,,,
35,AT2G15300,AT2G15300,at2g15300,,,,,
37,AT2G35930,atpub23,"atpub23,pub23",,,,,
38,AT3G01650,rglg1,rglg1,,,,,
40,AT4G11070,atwrky41,"atwrky41,wrky41",,,,,
41,AT4G19520,AT4G19520,at4g19520,,,,,
42,AT3G46290,herk1,herk1,,,,,
43,AT1G22190,rap2.4,rap2.4,,,,,
44,AT1G16130,wakl2,wakl2,,,,,
49,AT3G21650,AT3G21650,at3g21650,,,,,
50,AT4G26930,AT4G26930,at4g26930,,,,,
51,AT5G07820,AT5G07820,at5g07820,,,,,
52,AT1G12460,AT1G12460,at1g12460,,,,,
54,AT1G17250,atrlp3,"atrlp3,rfo2,rlp3",,,,,
56,AT2G25520,AT2G25520,at2g25520,,,,,
58,AT3G17770,AT3G17770,at3g17770,,,,,
59,AT4G25010,atsweet14,"atsweet14,sweet14",,,,,
61,AT1G10450,snl6,snl6,,,,,
62,AT1G10570,ots2,"ots2,ulp1c",,,,,
70,AT1G08730,atxic,"atxic,xic",,,,,
71,AT1G10650,AT1G10650,at1g10650,,,,,
72,AT3G14020,nf-ya6,nf-ya6,,,,,
74,AT1G15940,AT1G15940,at1g15940,,,,,
75,AT1G55500,ect4,ect4,,,,,
76,AT1G51520,AT1G51520,at1g51520,,,,,
77,AT1G12970,pirl3,pirl3,,,,,
78,AT1G01540,AT1G01540,at1g01540,,,,,
80,AT2G45830,dta2,dta2,,,,,
81,AT2G46210,atsld2,"atsld2,sld2",,,,,
84,AT2G25170,chd3,"chd3,chr6,ckh2,epp1,gym,pkl,ssl2",,,,,
86,AT1G24150,atfh4,"atfh4,fh4",,,,,
88,AT1G23190,pgm3,pgm3,,,,,
89,AT1G23080,atpin7,"atpin7,pin7",,,,,
94,AT2G25220,AT2G25220,at2g25220,,,,,
97,AT3G11850,AT3G11850,at3g11850,,,,,
100,AT5G07660,smc6a,smc6a,,,,,
103,AT1G20910,AT1G20910,at1g20910,,,,,
105,AT1G14660,atnhx8,"atnhx8,nhx8",,,,,
106,AT1G10050,AT1G10050,at1g10050,,,,,
107,AT2G25850,paps2,paps2,,,,,
110,AT5G07830,atgus2,"atgus2,gus2",,,,,
112,AT3G43600,aao2,"aao2,ao3,aogamma,atao-2,atao3",,,,,
114,AT1G09550,AT1G09550,at1g09550,,,,,
115,AT1G12010,AT1G12010,at1g12010,,,,,
118,AT1G25460,AT1G25460,at1g25460,,,,,
120,AT1G23880,AT1G23880,at1g23880,,,,,
121,AT1G23340,AT1G23340,at1g23340,,,,,
122,AT3G22790,net1a,net1a,,,,,
123,AT4G19970,AT4G19970,at4g19970,,,,,
125,AT4G18050,abcb9,"abcb9,pgp9",,,,,
133,AT1G18620,trm3,trm3,,,,,
134,AT1G19680,AT1G19680,at1g19680,,,,,
140,AT2G43870,AT2G43870,at2g43870,,,,,
141,AT2G44450,bglu15,bglu15,,,,,
701,AT2G33320,AT2G33320,at2g33320,,,,,
702,AT2G02950,pks1,pks1,,,,,
703,AT1G74160,trm4,trm4,,,,,
704,AT3G17770,AT3G17770,at3g17770,,,,,
705,AT3G14020,nf-ya6,nf-ya6,,,,,
706,AT1G07280,AT1G07280,at1g07280,,,,,
707,AT1G04500,AT1G04500,at1g04500,,,,,
708,AT3G52710,AT3G52710,AT3G52710,,,,,
709,AT3G55840,AT3G55840,at3g55840,,,,,
710,AT5G18180,AT5G18180,at5g18180,,,,,
711,AT5G04410,anac078,"anac078,nac2",,,,,
712,AT1G52420,AT1G52420,at1g52420,,,,,
713,AT4G15090,far1,far1,,,,,
714,AT4G14690,elip2,elip2,,,,,
