,Set,MA,MB,ma,mb,ma2,mb2,mutant_name,protein_similarity,gene_family,gene_fam_size,expression_A,expression_B,expression_ratio,GO_A,GO_B,GO_AB
1,1,AT2G03450,AT1G13900,atpap9,pap2,"atpap9,pap9",pap2,pap9/2,,,,,,,,,
2,2,AT1G48620,AT3G18035,hon5,hon4,hon5,hon4,hon5/4,,,,,,,,,
3,3,AT1G13020,AT3G26400,eif4b2,eif4b1,eif4b2,eif4b1,eif4b2/1,,,,,,,,,
4,5,AT3G03860,AT5G18120,aprl5,aprl7,"aprl5,ataprl5","aprl7,ataprl7",aprl5/7,,,,,,,,,
5,7,AT4G35470,AT2G17440,pirl4,pirl5,pirl4,pirl5,pirl4/5,,,,,,,,,
6,8,AT1G33260,AT4G10390,AT1G33260,AT4G10390,at1g33260,at4g10390,AT1G33260/AT4G10390,,,,,,,,,
7,11,AT2G21380,AT4G39050,AT2G21380,AT4G39050,at2g21380,at4g39050,AT2G21380/AT4G39050,,,,,,,,,
8,12,AT5G16480,AT3G02800,atpfa-dsp5,atpfa-dsp3,"atpfa-dsp5,pfa-dsp5","atpfa-dsp3,pfa-dsp3",pfa-dsp5/3,,,,,,,,,
9,14,AT4G28320,AT2G20680,atman5,atman2,"atman5,man5","atman2,man2",man5/2,,,,,,,,,
10,15,AT3G14310,AT1G53830,atpme3,atpme2,"atpme3,ozs2,pme3","atpme2,pme2",pme3/2,,,,,,,,,
11,18,AT3G61600,AT2G46260,atpob1,lrb1,"atpob1,lrb2,pob1",lrb1,lrb2/1,,,,,,,,,
12,20,AT3G14960,AT1G53290,AT3G14960,AT1G53290,at3g14960,at1g53290,AT3G14960/AT1G53290,,,,,,,,,
13,25,AT3G56170,AT2G40410,can,atcan2,"can,can1","atcan2,can2",can1/2,,,,,,,,,
14,33,AT1G18150,AT1G73670,atmpk8,atmpk15,"atmpk8,mpk8","atmpk15,mpk15",mpk8/15,,,,,,,,,
15,34,AT1G07560,AT2G28960,AT1G07560,AT2G28960,at1g07560,at2g28960,AT1G07560/AT2G28960,,,,,,,,,
16,35,AT2G15300,AT4G34220,AT2G15300,AT4G34220,at2g15300,at4g34220,AT2G15300/AT4G34220,,,,,,,,,
17,37,AT2G35930,AT3G52450,atpub23,atpub22,"atpub23,pub23","atpub22,pub22",pub22/23,,,,,,,,,
18,38,AT3G01650,AT5G14420,rglg1,rglg2,rglg1,rglg2,rglg1/2,,,,,,,,,
19,40,AT4G11070,AT4G23810,atwrky41,atwrky53,"atwrky41,wrky41","atwrky53,wrky53",wrky41/53,,,,,,,,,
20,41,AT4G19520,AT5G45240,AT4G19520,AT5G45240,at4g19520,at5g45240,AT4G19520/AT5G45240,,,,,,,,,
21,42,AT3G46290,AT5G59700,herk1,AT5G59700,herk1,at5g59700,herk1/AT5G59700,,,,,,,,,
22,43,AT1G22190,AT1G78080,rap2.4,atwind1,rap2.4,"atwind1,rap2.4,wind1",rap2.4/wind1,,,,,,,,,
23,44,AT1G16130,AT1G79670,wakl2,rfo1,wakl2,"rfo1,wakl22",wakl2/22,,,,,,,,,
