"","Set","e_est","lowerCI","upperCI","rsquared","pval_e","WT_w","MA_w","MB_w","DM_w","AF_w","WT_w_lci","MA_w_lci","MB_w_lci","DM_w_lci","AF_w_lci","WT_w_uci","MA_w_uci","MB_w_uci","DM_w_uci","AF_w_uci","pval_int","pval_MA","pval_MB","pval_DM","Epistasis_Direction","mutant_name","trait","mutant_rank"
"1",38,-1.08029383081012,-1.32647132671803,-0.834116334902207,0.543349781063731,2.168586980578e-15,1,1.01107232951528,0.975950292831964,0.475395737931431,0.987022622347244,0.942901214415319,0.952796125509008,0.917057392244348,0.416502837343815,0.886400750926321,1.05709878558468,1.06934853352155,1.03484319341958,0.534288638519047,1.08764449376817,2.35041997255647e-83,0.789212265413169,0.563712762336138,2.168586980578e-15,"Negative","rglg1/2","total_seed_count",1
"2",25,-0.815879785924096,-1.16344023473376,-0.468319337114434,0.120474780769283,7.64644752119646e-06,1,1.25047941932539,1.36197330712597,1.0358102961671,1.61245272645136,0.872346003306412,1.12954883948141,1.24544168455136,0.909941757988637,1.40150399553998,1.12765399669359,1.37140999916937,1.47850492970058,1.16167883434557,1.82340145736273,9.42781127578757e-33,0.00554328430289577,5.84615260381487e-05,7.64644752119646e-06,"Negative","can1/2","total_seed_count",2
"3",719,-0.481606521919966,-0.775809334970778,-0.187403708869153,0.108763756426158,0.00146571061870815,1,1.0680245013605,1.32975842580769,1.07741762129101,1.39778292716818,0.903463020800728,0.970487112237455,1.23322144660841,0.976681438969381,1.22999639915482,1.09653697919927,1.16556189048354,1.42629540500696,1.17815380361263,1.56556945518155,1.56846415845981e-49,0.329409565022828,3.7831022354165e-06,0.00146571061870815,"Negative","rsh3/2","total_seed_count",3
"4",14,-0.433276610013564,-0.688559260143307,-0.177993959883821,0.154008694622236,0.000959005417877402,1,1.00261004595077,1.02873073485194,0.776235359951948,1.03134078080271,0.900272207717344,0.899681738697055,0.937970923863612,0.677377559748561,0.89143866687064,1.09972779228266,1.10553835320449,1.11949054584027,0.875093160155335,1.17124289473478,1.91941812865298e-52,0.961335468666149,0.594027083359551,0.000959005417877402,"Negative","man5/2","total_seed_count",4
"5",759,-0.417663717325928,-0.782951814335483,-0.052375620316374,0.014118093206841,0.0252491825271037,1,1.1585620226091,1.15430048694163,1.06514606923692,1.31286250955074,0.891673775663875,1.05023579827298,1.04597426260551,0.956819844900793,1.12523598520847,1.10832622433612,1.26688824694523,1.26262671127776,1.17347229357304,1.50048903389301,1.0871037351103e-43,0.0425713680649372,0.0483877609557125,0.0252491825271037,"Negative","chx1/2","total_seed_count",5
"6",798,-0.351752735812061,-0.766020985590917,0.0625155139667952,0.0760527937608844,0.0954357592464059,1,0.847709315796674,1.16380825131282,0.728963939719392,1.01151756710949,0.841753980372693,0.678226512019699,0.983380028614004,0.572708515302545,0.717713947236891,1.15824601962731,1.01719211957365,1.34423647401163,0.885219364136238,1.30532118698209,1.74202288219354e-24,0.196242892407464,0.179358467524086,0.0954357592464059,"Not Detected","gata24/28","total_seed_count",6
"7",768,-0.269881806760349,-0.603147447580487,0.0633838340597889,0.0348693481060364,0.111844405104268,1,0.963239395656447,1.02115476833946,0.856679719816405,0.98439416399591,0.920739989665122,0.884792329994479,0.942707702677496,0.777419709481527,0.848048891029697,1.07926001033488,1.04168646131841,1.09960183400143,0.935939730151283,1.12073943696212,1.0663232362918e-61,0.516332095530741,0.708681909059951,0.111844405104268,"Not Detected","AT1G26650/AT1G69430","total_seed_count",7
"8",2,-0.256570652211129,-0.429803335608524,-0.0833379688137346,0.11560224759818,0.00389465776484954,1,0.96412273447302,1.07294290862134,0.867789188366558,1.03706564309436,0.930444317292102,0.888673216190947,1.00181353200361,0.787770779412914,0.928998626882348,1.0695556827079,1.03957225275509,1.14407228523907,0.947807597320202,1.14513265930637,3.67862399491114e-72,0.371507768276481,0.0605951543104723,0.00389465776484954,"Negative","hon5/4","total_seed_count",8
"9",70,-0.255330979429001,-0.493197983199874,-0.017463975658129,0.102734778841532,0.0355512611058706,1,0.960081563452819,0.987986815919767,0.82996686044516,0.948068379372586,0.944744510617446,0.906096485024097,0.934604941657256,0.77262552919993,0.85416852687196,1.05525548938255,1.01406664188154,1.04136869018228,0.88730819169039,1.04196823187321,7.48031166839062e-80,0.309100663118194,0.757926800209134,0.0355512611058706,"Negative","xic/e","total_seed_count",9
"10",787,-0.252530963161625,-0.626257221483093,0.121195295159843,0.00432766439041044,0.184134841687627,1,1.16911175185687,1.09197550701369,1.09821316769432,1.26108725887056,0.876900109366968,1.04992079527145,0.974007054094443,0.976458671453452,1.05305691711779,1.12309989063303,1.28830270844229,1.20994395993294,1.21996766393519,1.46911760062333,9.36032923517334e-37,0.0530335546708898,0.28858909447715,0.184134841687627,"Not Detected","AT1G03440/AT4G03010","total_seed_count",10
