,Set_1_A,MA_A,MB_A,Set_2_A,ATname_A,com_name_A,com_names_A,gene_fam_size_A,med_exp_level_A,max_exp_level_A,sim1_paralog_ks_A,ka_ks_evolve_rate_A,sim2_paralogs_max_perID_A,GO slimes_A,GO terms_A,Set_1_B,MA_B,MB_B,Set_2_B,ATname_B,com_name_B,com_names_B,gene_fam_size_B,med_exp_level_B,max_exp_level_B,sim1_paralog_ks_B,ka_ks_evolve_rate_B,sim2_paralogs_max_perID_B,GO slimes_B,GO terms_B,gene_fam_size_C,sim1_paralog_ks_C,med_exp_ratio_A/B,max_exp_ratio_A/B
0,1,AT2G03450,AT1G13900,1,AT2G03450,atpap9,"atpap9,pap9",20.0,49.51563439,636.9991217,1.337,0.12408377,72.75,"['other cellular processes', 'other metabolic processes', 'other membranes', 'other intracellular components', 'plastid', 'hydrolase activity', 'chloroplast', 'transport', 'extracellular region']","['acid phosphatase activity', 'chloroplast outer membrane', 'extracellular region', 'protein import into chloroplast stroma', 'dephosphorylation', 'acid phosphatase activity']",1,AT2G03450,AT1G13900,1,AT1G13900,pap2,pap2,20.0,288.6007523,2982.753499,1.337,0.12408377,73.95,"['other cellular processes', 'transport', 'carbohydrate metabolic process', 'Golgi apparatus', 'endosome', 'other metabolic processes', 'protein binding', 'other intracellular components', 'other binding', 'plastid', 'hydrolase activity', 'cytoplasm', 'mitochondrion', 'chloroplast', 'cellular component organization', 'extracellular region']","['extracellular region', 'chloroplast', 'protein binding', 'mitochondrion', 'protein binding', 'mitochondrion targeting sequence binding', 'mitochondrion', 'mitochondrial envelope', 'protein binding', 'intracellular anatomical structure', 'chloroplast envelope', 'chloroplast', 'protein insertion into mitochondrial outer membrane', 'Golgi apparatus', 'endosome', 'mitochondrion targeting sequence binding', 'Golgi apparatus', 'protein targeting to mitochondrion', 'acid phosphatase activity', 'cytoplasm', 'regulation of carbohydrate metabolic process', 'trans-Golgi network', 'protein targeting to mitochondrion', 'mitochondrion']",20.0,1.337,0.17157139749424,0.21356076588747974
1,2,AT1G48620,AT3G18035,2,AT1G48620,hon5,hon5,2.0,302.9023837,878.5613762,0.9432,0.397158609,49.0,"['other cellular processes', 'other metabolic processes', 'nucleolus', 'DNA metabolic process', 'chromatin binding', 'nucleobase-containing compound metabolic process', 'other binding', 'DNA binding', 'nucleus', 'cellular component organization']","['DNA-mediated transformation', 'negative regulation of DNA recombination', 'double-stranded DNA binding', 'nucleosome assembly', 'nucleolus', 'nucleosomal DNA binding', 'nucleus', 'nucleolus', 'nucleus', 'DNA-mediated transformation', 'negative regulation of DNA recombination', 'nucleosome assembly', 'nucleus', 'nucleolus', 'double-stranded DNA binding', 'nucleolus', 'nucleosomal DNA binding', 'nucleus']",2,AT1G48620,AT3G18035,2,AT3G18035,hon4,hon4,2.0,720.4867607,1620.381305,0.9432,0.397158609,44.5,"['other cellular processes', 'other metabolic processes', 'reproduction', 'other biological processes', 'response to light stimulus', 'nucleolus', 'anatomical structure development', 'DNA metabolic process', 'chromatin binding', 'other binding', 'multicellular organism development', 'DNA binding', 'response to abiotic stimulus', 'nucleus', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'cellular component organization']","['regulation of reproductive process', 'negative regulation of metabolic process', 'nucleosomal DNA binding', 'shoot system development', 'response to temperature stimulus', 'nucleus', 'regulation of developmental process', 'cellular nitrogen compound biosynthetic process', 'double-stranded DNA binding', 'nucleus', 'regulation of gene expression', 'nucleosome assembly', 'cell division', 'nucleolus', 'tissue development', 'negative regulation of DNA recombination', 'response to light stimulus', 'nucleus', 'regulation of reproductive process', 'shoot system development', 'nucleus', 'regulation of developmental process', 'cellular nitrogen compound biosynthetic process', 'double-stranded DNA binding', 'nucleus', 'nucleosome assembly', 'cell division', 'negative regulation of DNA recombination', 'nucleus', 'negative regulation of metabolic process', 'nucleosomal DNA binding', 'response to temperature stimulus', 'regulation of gene expression', 'nucleolus', 'tissue development', 'response to light stimulus']",2.0,0.9432,0.42041353182633157,0.5421942190329084
2,2,AT1G48620,AT3G18035,2222,AT1G48620,hon5,hon5,2.0,302.9023837,878.5613762,0.9432,0.397158609,49.0,"['other cellular processes', 'other metabolic processes', 'nucleolus', 'DNA metabolic process', 'chromatin binding', 'nucleobase-containing compound metabolic process', 'other binding', 'DNA binding', 'nucleus', 'cellular component organization']","['DNA-mediated transformation', 'negative regulation of DNA recombination', 'double-stranded DNA binding', 'nucleosome assembly', 'nucleolus', 'nucleosomal DNA binding', 'nucleus', 'nucleolus', 'nucleus', 'DNA-mediated transformation', 'negative regulation of DNA recombination', 'nucleosome assembly', 'nucleus', 'nucleolus', 'double-stranded DNA binding', 'nucleolus', 'nucleosomal DNA binding', 'nucleus']",2,AT1G48620,AT3G18035,2222,AT3G18035,hon4,hon4,2.0,720.4867607,1620.381305,0.9432,0.397158609,44.5,"['other cellular processes', 'other metabolic processes', 'reproduction', 'other biological processes', 'response to light stimulus', 'nucleolus', 'anatomical structure development', 'DNA metabolic process', 'chromatin binding', 'other binding', 'multicellular organism development', 'DNA binding', 'response to abiotic stimulus', 'nucleus', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'cellular component organization']","['regulation of reproductive process', 'negative regulation of metabolic process', 'nucleosomal DNA binding', 'shoot system development', 'response to temperature stimulus', 'nucleus', 'regulation of developmental process', 'cellular nitrogen compound biosynthetic process', 'double-stranded DNA binding', 'nucleus', 'regulation of gene expression', 'nucleosome assembly', 'cell division', 'nucleolus', 'tissue development', 'negative regulation of DNA recombination', 'response to light stimulus', 'nucleus', 'regulation of reproductive process', 'shoot system development', 'nucleus', 'regulation of developmental process', 'cellular nitrogen compound biosynthetic process', 'double-stranded DNA binding', 'nucleus', 'nucleosome assembly', 'cell division', 'negative regulation of DNA recombination', 'nucleus', 'negative regulation of metabolic process', 'nucleosomal DNA binding', 'response to temperature stimulus', 'regulation of gene expression', 'nucleolus', 'tissue development', 'response to light stimulus']",2.0,0.9432,0.42041353182633157,0.5421942190329084
3,3,AT1G13020,AT3G26400,3,AT1G13020,eif4b2,eif4b2,2.0,158.6426043,293.0226833,0.7679,0.14819638,66.47,"['other metabolic processes', 'response to external stimulus', 'translation factor activity, RNA binding', 'response to biotic stimulus', 'protein binding', 'response to stress', 'biosynthetic process', 'cytoplasm', 'RNA binding', 'growth', 'extracellular region']","['cytoplasm', 'developmental growth', 'mRNA binding', 'macromolecule biosynthetic process', 'defense response to other organism', 'protein homodimerization activity', 'macromolecule modification', 'translation initiation factor activity', 'regulation of gene expression', 'extracellular region', 'translation initiation factor activity', 'mRNA binding', 'translation initiation factor activity', 'mRNA binding']",3,AT1G13020,AT3G26400,3,AT3G26400,eif4b1,eif4b1,2.0,232.6855637,383.7746489,0.7679,0.14819638,59.96,"['unknown biological processes', 'translation factor activity, RNA binding', 'protein binding', 'nucleus', 'RNA binding', 'cytosol']","['cytosol', 'translation initiation factor activity', 'nucleus', 'mRNA binding', 'protein homodimerization activity', 'mRNA binding', 'translation initiation factor activity', 'mRNA binding', 'biological_process_unknown', 'translation initiation factor activity']",2.0,0.7679,0.6817896296503245,0.7635279822152943
4,5,AT3G03860,AT5G18120,5,AT3G03860,aprl5,"aprl5,ataprl5",4.0,294.0373443,538.4701984,0.5306,0.383339616,67.0,"['other cellular processes', 'response to chemical', 'response to endogenous stimulus', 'response to stress', 'unknown cellular components', 'unknown molecular functions', 'cellular component organization']","['protein-containing complex assembly', 'response to wounding', 'response to jasmonic acid', 'cellular_component_unknown', 'molecular_function_unknown']",5,AT3G03860,AT5G18120,5,AT5G18120,aprl7,"aprl7,ataprl7",4.0,184.7889024,529.577289,0.5306,0.383339616,67.0,"['unknown biological processes', 'unknown molecular functions', 'mitochondrion']","['molecular_function_unknown', 'biological_process_unknown', 'mitochondrion']",4.0,0.5306,1.5912067255181659,1.0167924674730529
5,7,AT4G35470,AT2G17440,7,AT4G35470,pirl4,pirl4,12.0,287.9709646,767.4684391,0.824,0.235194175,70.45,"['unknown molecular functions', 'nucleus', 'plasma membrane', 'signal transduction']","['molecular_function_unknown', 'nucleus', 'nucleus', 'signal transduction', 'plasma membrane', 'plasma membrane']",7,AT4G35470,AT2G17440,7,AT2G17440,pirl5,pirl5,12.0,93.63818137,1684.390175,0.824,0.235194175,70.32,"['unknown molecular functions', 'plasma membrane', 'signal transduction']","['plasma membrane', 'plasma membrane', 'plasma membrane', 'signal transduction', 'molecular_function_unknown']",12.0,0.824,3.075358367567151,0.45563578468391386
6,8,AT1G33260,AT4G10390,8,AT1G33260,AT1G33260,at1g33260,5.0,41.79439816,450.7907965,1.0054,0.121145813,78.51,"['other cellular processes', 'other metabolic processes', 'carbohydrate metabolic process', 'response to light stimulus', 'kinase activity', 'plasma membrane', 'response to stress', 'catalytic activity', 'biosynthetic process', 'nucleus', 'transferase activity']","['response to wounding', 'pigment metabolic process', 'protein phosphorylation', 'carbohydrate biosynthetic process', 'nucleus', 'organic cyclic compound biosynthetic process', 'protein serine/threonine kinase activity', 'aromatic compound biosynthetic process', 'vitamin metabolic process', 'kinase activity', 'phosphorylation', 'response to light stimulus', 'nucleus', 'plasma membrane']",8,AT1G33260,AT4G10390,8,AT4G10390,AT4G10390,at4g10390,5.0,40.12872795,222.0208327,1.0054,0.121145813,79.08,"['other cellular processes', 'other metabolic processes', 'kinase activity', 'plasma membrane', 'response to stress', 'catalytic activity', 'chloroplast', 'transferase activity']","['plasma membrane', 'chloroplast', 'protein serine/threonine kinase activity', 'response to wounding', 'protein phosphorylation']",5.0,1.0054,1.0415081736972926,2.0303986388030513
7,11,AT2G21380,AT4G39050,11,AT2G21380,AT2G21380,at2g21380,6.0,164.2677923,367.0540507,0.7185,0.135560195,78.55,"['other cellular processes', 'protein binding', 'hydrolase activity', 'motor activity', 'chloroplast', 'cytoskeleton']","['chloroplast', 'microtubule-based movement', 'kinesin complex', 'microtubule binding', 'microtubule motor activity', 'chloroplast', 'ATP hydrolysis activity', 'microtubule']",11,AT2G21380,AT4G39050,11,AT4G39050,AT4G39050,at4g39050,,,,,,,"['other cellular processes', 'protein binding', 'response to stress', 'hydrolase activity', 'nucleus', 'motor activity', 'cytoskeleton']","['microtubule binding', 'nucleus', 'microtubule', 'ATP hydrolysis activity', 'microtubule-based movement', 'regulation of defense response', 'kinesin complex', 'microtubule motor activity']",,,,
8,12,AT5G16480,AT3G02800,12,AT5G16480,atpfa-dsp5,"atpfa-dsp5,pfa-dsp5",5.0,108.8613549,4527.666248,0.8468,0.157652338,78.92,"['other cellular processes', 'other metabolic processes', 'hydrolase activity', 'cytoplasm']","['phosphatase activity', 'cytoplasm', 'dephosphorylation', 'cytoplasm', 'phosphatase activity', 'cytoplasm', 'protein dephosphorylation']",12,AT5G16480,AT3G02800,12,AT3G02800,atpfa-dsp3,"atpfa-dsp3,pfa-dsp3",5.0,37.32048795,443.3753857,0.8468,0.157652338,78.92,"['other cellular processes', 'response to chemical', 'response to external stimulus', 'other metabolic processes', 'response to biotic stimulus', 'response to endogenous stimulus', 'protein binding', 'response to stress', 'signal transduction', 'hydrolase activity', 'nucleus', 'response to abiotic stimulus', 'cytoplasm']","['nucleus', 'regulation of defense response', 'cellular response to oxygen-containing compound', 'response to temperature stimulus', 'phosphatase activity', 'cytoplasm', 'cytoplasm', 'cytoplasm', 'defense response to fungus', 'protein binding', 'phosphatase activity', 'nucleus', 'defense response to bacterium', 'hormone-mediated signaling pathway', 'protein dephosphorylation', 'cellular response to lipid', 'response to abscisic acid', 'response to water deprivation']",5.0,0.8468,2.9169327862445593,10.211812369447916
9,14,AT4G28320,AT2G20680,14,AT4G28320,atman5,"atman5,man5",8.0,18.86138091,111.9070795,0.6802,0.160246986,82.56,"['other metabolic processes', 'Golgi apparatus', 'other intracellular components', 'hydrolase activity', 'extracellular region', 'post-embryonic development']","['extracellular region', 'Golgi trans cisterna', 'seed germination', 'organic substance metabolic process', 'mannan endo-1,4-beta-mannosidase activity']",14,AT4G28320,AT2G20680,14,AT2G20680,atman2,"atman2,man2",8.0,86.1080044,485.9344646,0.6802,0.160246986,82.56,"['other cellular processes', 'other metabolic processes', 'carbohydrate metabolic process', 'hydrolase activity', 'extracellular region']","['extracellular region', 'mannan endo-1,4-beta-mannosidase activity', 'mannan endo-1,4-beta-mannosidase activity', 'mannan metabolic process']",8.0,0.6802,0.21904329384272667,0.23029253459541504
