Set	MA	MB
001	At2g03450	At1g13900
002	At1g48620	At3g18035
003	At1g13020	At3g26400
005	At3g03860	At5g18120
007	At4g35470	At2g17440
008	At1g33260	At4g10390
011	At2g21380	At4g39050
012	At5g16480	At3g02800
014	At4g28320	At2g20680
015	At3g14310	At1g53830
018	At3g61600	At2g46260
020	At3g14960	At1g53290
025	At3g56170	At2g40410
033	At1g18150	At1g73670
034	At1g07560	At2g28960
035	At2g15300	At4g34220
037	At2g35930	At3g52450
038	At3g01650	At5g14420
040	At4g11070	At4g23810
041	At4g19520	At5g45240
042	At3g46290	At5g59700
043	At1g22190	At1g78080
044	At1g16130	At1g79670
049	At3g21650	At4g15410
050	At4g26930	At5g55020
051	At5g07820	At5g61260
052	At1g12460	At1g62950
054	At1g17250	At1g72300
056	At2g25520	At4g32390
58	At3g17770	At1g48430
059	At4g25010	At5g50800
061	At1g10450	At1g59890
062	At1g10570	At1g60220
070	At1g08730	At1g54560
71	At1g10650	At1g60610
72	At3g14020	At1g54160
074	At1g15940	At1g80810
75	At1g55500	At3g13460
76	At1g51520	At3g21100
77	At1g12970	At3g26500
78	At1g01540	At4g01330
80	At2g45830	At3g61270
81	At2g46210	At3g61580
84	At2g25170	At4g31900
86	At1g24150	At1g70140
88	At1g23190	At1g70730
89	At1g23080	At1g70940
94	At2g25220	At4g32000
97	At3g11850	At5g06560
100	At5g07660	At5g61460
103	At1g20910	At1g76510
105	At1g14660	At2g01980
106	At1g10050	At1g58370
107	At2g25850	At4g32850
110	At5g07830	At5g61250
112	At3g43600	At5g20960
114	At1g09550	At1g57590
115	At1g12010	At1g62380
118	At1g25460	At1g68540
120	At1g23880	At1g70280
121	At1g23340	At1g70550
122	At3g22790	At4g14760
123	At4g19970	At5g44820
125	At4g18050	At5g46540
133	At1g18620	At1g74160
134	At1g19680	At1g75400
140	At2g43870	At3g59850
141	At2g44450	At3g60130
701	At2g33320	At1g04540
702	At2g02950	At1g14280
703	At1g74160	At1g18620
704	At3g17770	At1g48430
705	At3g14020	At1g54160
706	At1g07280	At2g29670
707	At1g04500	At2g33350
708	At3g52710	At2g36220
709	At3g55840	At2g40000
710	At5g18180	At3g03920
711	At5g04410	At3g10500
712	At1g52420	At3g15940
713	At4g15090	At3g22170
714	At4g14690	At3g22840
715	At2g22660	At4g37900
716	At2g42670	At3g58670
717	At3g13980	At1g54200
718	At1g80000	At1g15280
719	At1g54130	At3g14050
720	At3g02490	At5g15980
721	At1g21880	At1g77630
722	At1g02370	At4g01990
723	At5g45110	At4g19660
724	At5g48250	At3g07650
725	At1g19700	At1g75410
726	At3g57470	At2g41790
728	At5g44670	At4g20170
729	At2g30040	At1g07150
730	At1g21920	At1g77660
731	At3g07340	At5g48560
732	At3g11020	At5g05410
733	At3g02990	At5g16820
734	At1g49780	At3g19380
735	At3g06830	At5g49180
736	At3g53680	At2g37520
737	At1g30500	At2g34720
738	At1g33990	At4g09900
739	At5g55090	At4g26890
740	At1g21060	At1g76620
741	At1g52190	At3g16180
742	At3g03480	At5g17540
743	At3g25250	At4g13000
744	At3g15950	At1g52410
745	At3g25780	At1g13280
750	At1g55890	At3g13160
753	At5g62575	At3g47833
754	At5g61590	At5g07580
755	At3g57800	At2g42300
756	At3g27560	At5g40540
757	At1g15400	At1g80180
758	At2g02970	At1g14240
759	At1g16380	At1g79400
761	At1g17540	At1g72760
763	At2g21990	At4g39610
764	At1g04600	At2g33240
765	At2g15880	At4g33970
766	At1g54020	At3g14210
767	At5g57440	At4g25840
768	At1g26650	At1g69430
769	At4g02880	At1g03290
770	At1g20540	At1g76260
771	At1g21380	At1g76970
772	At4g31360	At2g24440
773	At1g07750	At2g28680
774	At3g05010	At5g27210
775	At5g16540	At3g02830
776	At2g20230	At4g28770
777	At1g51590	At3g21160
778	At1g78920	At1g16780
779	At5g07620	At5g61570
780	At5g16800	At3g02980
781	At3g19290	At1g49720
782	At1g61240	At1g11170
783	At3g07540	At5g48360
784	At1g80440	At1g15670
785	At1g25270	At1g68170
786	At1g23560	At1g70480
787	At1g03440	At4g03010
788	At1g74430	At1g18710
789	At1g10560	At1g60190
790	At1g05100	At2g32510
791	At1g07180	At2g29990
792	At1g72740	At1g17520
793	At1g17460	At1g72650
794	At1g49910	At3g19590
795	At1g56690	At1g09410
796	At2g45920	At3g61390
797	At2g02780	At1g14390
798	At3g21175	At1g51600
799	At1g32530	At2g35330
800	At1g68670	At1g25550
801	At2g43010	At3g59060
802	At1g77310	At1g21610
803	At5g41180	At1g63430
804	At1g70510	At1g23380
805	At1g26790	At1g69570
806	At1g79700	At1g16060
807	At5g39430	At3g29180
808	At3g58700	At2g42740
809	At1g04410	At5g43330
810	At1g77000	At1g21410
811	At4g17980	At5g46590
812	At1g66180	At5g37540
813	At3g19280	At1g49710
814	At1g12640	At1g63050
815	At1g15330	At1g80090
816	At1g51710	At3g21280
819	At4g31920	At2g25180
820	At2g31650	At1g05830
821	At1g50280	At3g19850
823	At1g51880	At3g21340
825	At2g47800	At3g62700
826	At2g02810	At2g02810
827	At1g74160	At1g18620
828	At1g76300	At1g20580
829	At1g76850	At1g21170
830	At1g21190	At1g76860
836	At4g24330	At5g49945
839	At1g04300	At5g43560
841	At1g17890	At1g73250
845	At1g06040	At2g31380
848	At3g49670	At5g65700
849	At5g66140	At3g51260
850	At3g05750	At5g26910
851	At2g03340	At1g13960
852	At3g15690	At1g52670
855	At5g55120	At4g26850
856	At5g61760	At5g07370
857	At2g24500	At4g31420
858	At5g57290	At4g25890
